Title,Year,Type,Released,Runtime(in mins),Genre,Director,Language,Country,Production,Awards,Nominations,Wins,IMDB Rating,Rotten Tomatoes,Metacritic,Metascore,imdbVotes,BoxOffice,Multigenre,Multilanguage,Multicompany,Multicountry
Hannah Montana: The Movie,2009,movie,10 Apr 2009,102,"Comedy, Drama, Family",Peter Chelsom,English,United States,N/A,6 wins & 11 nominations,11,6,4.7,43%,47,47,"46,442","$79,576,189",Yes,No,No,No
Wizards of Waverly Place: The Movie,2009,movie,28 Aug 2009,94,"Action, Adventure, Comedy",Lev L. Spiro,"English, Russian",United States,N/A,Won 1 Primetime Emmy. 3 wins & 4 nominations total,4,3,6.2,N/A,N,N/A,"21,436",N/A,Yes,Yes,No,No
Best Worst Movie,2009,movie,14 Mar 2009,93,"Documentary, Comedy",Michael Paul Stephenson,"English, Italian",United States,N/A,3 wins & 1 nomination,1,3,7.2,94%,61,61,"8,615","$109,895",Yes,Yes,No,No
Naruto Shippûden: The Movie 3: Inheritors of the Will of Fire,2009,movie,23 Oct 2012,95,"Animation, Action, Fantasy",Masahiko Murata,Japanese,Japan,N/A,1 win & 6 nominations,6,1,7.0,N/A,N,N/A,"4,546",N/A,Yes,No,No,No
Spanish Movie,2009,movie,04 Dec 2009,83,Comedy,Javier Ruiz Caldera,Spanish,Spain,N/A,2 nominations,2,0,4.3,N/A,N,N/A,"3,291",N/A,No,No,No,No
"Road, Movie",2009,movie,05 May 2010,95,"Adventure, Comedy, Crime",Dev Benegal,"Hindi, English, Rajasthani","India, United States",N/A,4 nominations,4,0,6.8,67%,N,N/A,"1,739",N/A,Yes,Yes,No,Yes
Gurren Lagann the Movie: The Lights in the Sky are Stars,2009,movie,25 Apr 2009,126,"Animation, Action, Drama","Hiroyuki Imaishi, Yasuhiro Geshi, Hiroshi Ikehata",Japanese,Japan,N/A,N/A,0,0,8.0,N/A,N,N/A,"1,362",N/A,Yes,No,No,No
Nodame Cantabile: The Movie I,2009,movie,19 Dec 2009,122,"Comedy, Drama, Music",Hideki Takeuchi,Japanese,Japan,N/A,N/A,0,0,7.1,N/A,N,N/A,"1,163",N/A,Yes,No,No,No
Totally Spies! The Movie,2009,movie,25 Apr 2010,75,"Animation, Action, Adventure",Pascal Jardin,French,"France, South Korea, Italy",N/A,N/A,0,0,6.4,N/A,N,N/A,905,N/A,Yes,No,No,Yes
Another Egg and Chicken Movie,2009,movie,20 Mar 2009,90,"Animation, Action, Adventure","Gabriel Riva Palacio Alatriste, Rodolfo Riva Palacio Alatriste",Spanish,Mexico,N/A,N/A,0,0,6.1,N/A,N,N/A,668,N/A,Yes,No,No,No
